node	degree
116349	5
7852	37
9114	1
5782	62
53942	1
4284	12
1178	6
135250	3
2245	4
89780	13
197358	1
5934	54
55432	4
55576	4
260434	1
8897	3
1149	3
11269	85
64769	33
85461	13
3192	322
150771	3
54475	1
3376	31
55974	2
23406	7
51227	6
84124	2
3755	1
472	116
3156	12
9242	6
79183	2
55336	1
170626	1
64324	7
148423	2
23650	44
374403	6
2589	2
10781	10
5155	17
7277	115
824	21
83538	11
23670	1
64219	12
150368	1
1827	23
10052	2
51032	1
785	9
2335	113
53	27
51438	5
79019	42
23617	4
114800	2
50626	2
10480	84
8216	51
171392	4
55466	1
54462	8
993	35
22936	4
25836	4
1871	21
7869	6
22913	100
6449	90
1241	2
53616	10
2354	7
80314	30
140606	3
29923	1
256369	2
81563	1
2219	6
22995	1
23086	3
152330	4
26137	2
11285	4
51582	4
84759	11
91319	3
93323	1
4656	36
207	222
58503	1
84823	8
3008	26
4008	9
1025	99
23008	4
91582	3
6181	139
23111	6
64218	7
2131	7
6263	3
5291	20
81555	1
78990	16
9706	12
2271	10
4245	8
51130	3
2521	66
820	5
6840	21
226	48
23392	7
930	24
10362	70
93436	9
57085	90
2241	22
1476	12
2201	8
8239	29
79370	3
405	39
2107	13
157739	1
6117	104
4633	7
219771	9
142689	5
51586	53
7011	4
127281	2
23362	3
1845	12
51564	31
151295	1
1128	3
4330	1
84290	1
57215	7
84247	1
6860	12
7078	9
7164	14
714	8
55329	4
84953	1
5778	10
23509	3
7423	8
2629	15
11009	1
100533105	4
5874	10
56996	1
7102	4
8519	7
124930	1
9098	6
1513	7
3853	21
55677	4
9832	17
8764	77
79012	1
27004	2
9943	16
2036	13
8996	21
1583	5
1139	5
22	2
440264	2
2252	11
5730	21
403	14
2047	13
11252	26
4705	54
9050	5
7001	32
9805	3
548313	1
5476	21
22820	31
147744	3
83552	4
6375	5
10673	6
4292	126
64764	3
2034	20
11333	7
84078	41
8407	15
162968	2
8601	49
417	1
118471	17
10718	1
29123	10
140689	1
5169	15
89796	4
9526	7
8348	6
5495	22
26251	1
79177	4
2539	16
1856	78
23473	7
151056	1
51337	1
115024	1
10524	137
83439	3
5931	119
64506	4
203562	2
2027	12
64965	82
3732	34
4081	1
9170	7
10487	10
9867	14
25766	4
64210	17
121441	4
326625	2
7855	5
149461	2
23239	18
23317	2
91949	11
84141	3
125115	313
7126	16
8490	5
60312	11
81551	4
23216	6
4670	231
127733	3
3670	16
163227	1
3216	12
6608	3
81876	12
5145	21
8416	2
6430	143
445	15
8848	146
5868	48
5394	50
80270	8
10614	20
121642	1
5118	3
5469	85
29951	1
8550	24
51088	5
11135	11
514	15
84527	5
9779	6
56904	14
79679	1
63905	1
2041	3
6224	186
8812	25
347862	1
6434	141
115761	2
283989	5
6357	10
84684	1
9851	6
26256	2
7752	1
529	17
326343	3
84656	4
79794	2
1059	59
6845	18
5796	26
5900	22
23101	2
7223	13
25803	3
55954	25
9230	10
5994	3
83666	1
55275	1
57695	1
124637	31
9322	29
10426	11
3703	10
8626	57
7707	21
8939	6
51067	5
166793	4
55884	2
257202	26
1628	4
6653	5
162699	3
285596	1
1912	74
2553	26
64123	2
92799	5
5598	64
51109	12
245973	1
57007	1
79083	6
4116	101
10075	26
7150	194
7429	6
10975	69
5913	6
6253	5
26207	3
84631	1
51642	78
91526	4
219699	3
55216	13
84662	8
2149	16
90594	15
152006	9
414325	3
285971	6
7298	29
166979	12
55905	17
492303	1
7399	2
80321	174
65055	1
5463	1
6435	2
8509	1
80774	1
10635	6
375056	7
26094	4
58533	21
23143	1
